,max_num_tokens,num_layers,mid_features,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,500.0,1.0,50.0,0.679765588491761,0.6154864582630843,0.642168750499462,0.7927826620323042,0.7301572356651916,0.7601823261285104
1,500.0,1.0,150.0,0.6932501448738403,0.6181794311252242,0.6462503143374038,0.7963954685890834,0.7280858676207513,0.760710245438001
2,500.0,1.0,250.0,0.6751354469501993,0.6218993916030349,0.642949742010628,0.7883955600403633,0.7356181150550796,0.7610929813452828
3,500.0,2.0,50.0,0.026551851398030152,0.027150306557852437,0.025585666316365267,0.7407757805108799,0.14744374352697487,0.24593639575971732
4,500.0,2.0,150.0,0.0363941428601467,0.040287486307085625,0.03610010898316583,0.5388448471121178,0.22399020807833536,0.3164405426975259
5,500.0,2.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
6,500.0,3.0,50.0,0.005026158445440957,0.015625,0.007605745306491744,0.32167414050822124,0.10130872799171453,0.15408850064442217
7,500.0,3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
8,500.0,3.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1000.0,1.0,50.0,0.6976962604386997,0.625710427173909,0.648871854444864,0.7964601769911505,0.728744939271255,0.7610993657505285
10,1000.0,1.0,150.0,0.7205875292920345,0.6233755559695994,0.6562028952532336,0.8035955523225605,0.7280858676207513,0.7639794507014424
11,1000.0,1.0,250.0,0.7224739020972394,0.6220279792075822,0.6585279577364174,0.8022476543973606,0.7326052160813483,0.7658464566929133
12,1000.0,2.0,50.0,0.028004537799401198,0.02288368121592494,0.025075054898939964,0.8988300068823124,0.12296393936540816,0.21633261553751865
13,1000.0,2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1000.0,2.0,250.0,0.03240512863877069,0.015524232012636412,0.020810794399051535,0.7697841726618705,0.08059504754731193,0.14591323617148216
15,1000.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1000.0,3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1000.0,3.0,250.0,0.005138266068759343,0.015625,0.0077334083239595066,0.32884902840059793,0.103568402222013,0.15752541887440927
18,,1.0,50.0,0.706977948230114,0.6367633486651667,0.6604242284476223,0.7852967403150698,0.7462574145560682,0.7652795210968427
19,,1.0,150.0,0.6873882181891433,0.6327921539337114,0.6512168801021634,0.7909484930954541,0.738819320214669,0.7639957160938564
20,,1.0,250.0,0.6998254823015424,0.6267572475926564,0.6497663749197018,0.7871557808927329,0.7455041898126353,0.7657640232108317
21,,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
22,,2.0,150.0,0.015625,1.4521375464684014e-05,2.9015784586815228e-05,1.0,9.415309292910272e-05,0.00018828845791752966
23,,2.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
24,,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
25,,3.0,150.0,0.005026158445440957,0.015625,0.007605745306491744,0.32167414050822124,0.10130872799171453,0.15408850064442217
26,,3.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
