,optimizer,num_hidden,dim_hidden,dropout_rate,learning_rate,num_epochs,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,SWA,1,80,0,0.01,10,0.7233663528008208,0.49408671808780585,0.5706972637593032,0.8396895038812014,0.7269327411909074,0.7792533199699323
1,SWA,1,120,0,0.01,10,0.7137414464286427,0.49735034647310916,0.5712430474343473,0.834878791892966,0.7365745339800152,0.782651889106206
2,SWA,1,150,0,0.01,10,0.7223208763776484,0.5022357978916048,0.5765997002921884,0.8457268179014461,0.7210892304096301,0.7784506686853394
