,optimizer,num_hidden,dim_hidden,dropout_rate,learning_rate,num_epochs,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,SWA,1,80,0.0,0.01,10,0.7233663528008208,0.4940867180878058,0.5706972637593032,0.8396895038812014,0.7269327411909074,0.7792533199699323
1,SWA,1,120,0.0,0.01,10,0.7137414464286427,0.4973503464731092,0.5712430474343473,0.8348787918929659,0.7365745339800152,0.782651889106206
2,SWA,1,150,0.0,0.01,10,0.7223208763776484,0.5022357978916048,0.5765997002921884,0.8457268179014461,0.7210892304096301,0.7784506686853394
3,SWA,2,40,0.0,0.001,10,0.5313848855259032,0.3161078485685251,0.3706705312910013,0.8316731629854194,0.6732893122187811,0.7441469951884265
4,SWA,2,40,0.0,0.01,10,0.6047689336072,0.4342922420149147,0.4878999636532097,0.8323850631090184,0.7437620522409863,0.7855820269102579
5,SWA,2,40,0.1,0.001,10,0.5383566964211329,0.3095567281430236,0.36634320053363945,0.8399765533411488,0.6699000759656402,0.7453593836351223
6,SWA,2,40,0.1,0.01,10,0.5457452041221924,0.3802003161698579,0.4314510131774727,0.8148868572910588,0.7344124349909426,0.7725596262601426
7,SWA,2,40,0.2,0.001,10,0.5795526365009849,0.31304221257792325,0.3715871926231586,0.8421169339936433,0.6657511833109332,0.7436198681548201
8,SWA,2,40,0.2,0.01,10,0.6484161626752399,0.4728196700507425,0.5288279309651372,0.8232939263151311,0.7691228890317303,0.7952870090634442
9,SWA,2,80,0.0,0.001,10,0.5724208937866041,0.3619155056487637,0.41703108706370223,0.8363800653367623,0.7031496523111085,0.7639999999999999
10,SWA,2,80,0.0,0.01,10,0.7228440453720427,0.5211813581257366,0.56928272424987,0.836074908262685,0.7722199497458073,0.8028797958625717
11,SWA,2,80,0.1,0.001,10,0.5823232653311243,0.3881703382237813,0.4399912284297571,0.8373939228031755,0.7150119791971016,0.7713790386130812
12,SWA,2,80,0.1,0.01,10,0.6916981377411409,0.5394490935732318,0.5765183528649813,0.8115244689590424,0.8081575410506633,0.8098375054896795
