,optimizer,num_hidden,dim_hidden,dropout_rate,learning_rate,num_epochs,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
0,SWA,1,40,0,0.001,10,0.5940822906784806,0.2835653616402091,0.3539752343573104,0.8417804837913444,0.5978495880324899,0.6991492124235487
1,SWA,1,40,0,0.01,10,0.7305535101088211,0.49153744437029145,0.5703225686640339,0.8370245708515651,0.7265821305440309,0.777902902902903
2,SWA,1,80,0,0.001,10,0.5939138933753464,0.28304067828582374,0.3530680419944466,0.8413679439637413,0.5966224507684217,0.6981673960612691
3,SWA,1,80,0,0.01,10,0.738885579994934,0.48398420422882465,0.5613515418541154,0.8417678352202974,0.7212061006252557,0.7768371361132967
4,SWA,1,120,0,0.001,10,0.5933538285662308,0.2832034108368838,0.3529557303760367,0.8390955267901032,0.5984923742184304,0.6986595722910058
5,SWA,1,120,0,0.01,10,0.7281980779343851,0.4754052346489722,0.5551321492633369,0.8381068454194597,0.7233097645065155,0.7764883006084938
